subject_id,Participant_ID,daqtime,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap,video,valence,arousal,Valence_class,Arousal_class
sub_1,1,2325625.51,0.964,37.08056,6.67782,27.09022,27.0096,12.50044,7.02132,5.2153,8,0.5,9.5,1,2
sub_1,1,804475.51,0.51072,35.928,4.9416,27.04308,28.96318,6.1364,6.04042,5.30634,5,7.259,5.646,2,2
sub_1,1,390025.51,0.77494,36.97716,6.6159,27.30072,29.26246,7.93616,5.77188,5.11428,11,5,5,1,1
sub_1,1,1730125.51,0.83288,36.62262,7.46122,27.03708,27.75332,5.8895,13.51572,5.09448,2,9.348,6.828,2,2
sub_1,1,1673925.51,0.88564,36.63878,7.9055,27.08902,27.8406,5.89104,8.00436,5.09278,2,9.042,5.831,2,2
sub_1,1,941075.51,0.98482,38.18598,4.66134,27.00214,28.90348,7.39158,5.87552,5.15202,11,5,5,1,1
sub_1,1,1991075.51,0.87382,37.16932,7.90008,27.0786,27.38898,6.76416,5.94776,5.08368,6,4.942,5.766,1,2
sub_1,1,846475.51,0.90038,34.488,4.81818,27.09258,28.9257,7.67082,6.01418,5.26288,5,5.179,6.137,2,2
sub_1,1,804925.51,0.75682,38.00232,4.93956,27.09084,28.96412,6.77546,7.2413,5.0954,5,7.217,5.646,2,2
sub_1,1,678575.51,0.8625,38.17074,5.228,27.03404,29.11454,6.01254,14.42166,5.077,11,5,5,1,1
sub_1,1,2259475.51,0.83508,35.81598,5.74662,27.16866,27.07904,7.74716,6.19804,5.07884,8,2.825,6.651,1,2
sub_1,1,2448375.51,0.78676,36.83464,7.25118,27.11142,26.88114,6.254,5.90094,5.14706,12,5,5,1,1
sub_1,1,1262025.51,0.78692,37.51572,16.03236,27.11154,28.6054,5.37522,6.1841,5.2243,11,5,5,1,1
sub_1,1,992475.51,0.82428,34.87568,4.4897,27.23596,28.89404,6.82322,6.61218,5.04912,11,5,5,1,1
sub_1,1,1430625.51,0.94196,36.83864,11.284,27.10712,28.26336,6.5933,5.77922,5.1972,4,7.539,5.025,2,2
sub_1,1,2133475.51,0.84358,36.83008,6.2286,27.03032,27.21148,7.94834,5.93708,5.07554,11,5,5,1,1
sub_1,1,148775.51,0.8373,38.76076,8.74084,27.14658,29.1162,9.50662,6.34924,5.23826,11,5,5,1,1
sub_1,1,1595425.51,0.8929,36.14442,8.09158,27.05586,27.96386,6.79946,5.76184,5.03438,11,5,5,1,1
sub_1,1,187925.51,0.77152,35.68504,8.18004,27.18508,29.0903,7.02948,5.79978,5.07396,11,5,5,1,1
sub_1,1,2375475.51,0.8373,35.74476,7.72918,27.10508,26.95686,6.70492,6.06506,5.34488,12,5,5,1,1
sub_1,1,1584225.51,0.78544,36.43204,8.27148,27.34656,27.98168,6.16678,6.0601,5.11918,11,5,5,1,1
sub_1,1,2068075.51,0.90034,36.83122,6.80282,27.44296,27.29154,8.14318,5.98138,5.18246,11,5.376,4.451,2,1
sub_1,1,1055125.51,0.79138,36.00118,4.36358,27.02316,28.86488,7.87288,6.0601,5.04416,7,4.789,6.073,1,2
sub_1,1,541125.51,0.75828,37.55522,5.76228,27.4082,29.20868,6.55142,6.3838,5.10764,1,4.504,7.104,1,2
sub_1,1,2276925.51,0.9265,35.47996,5.70878,27.14432,27.06102,8.63188,6.46936,5.36784,8,1.53,7.625,1,2
sub_1,1,2038825.51,0.73262,36.41132,7.14812,27.5597,27.3269,7.7809,5.87462,5.11664,6,5,5,1,1
sub_1,1,576625.51,0.76498,36.52074,5.60854,27.15652,29.19412,6.56866,7.97312,5.06298,1,6.151,6.45,2,2
sub_1,1,1013625.51,1.0117,38.40198,4.4306,27.04854,28.8799,7.24372,6.129,5.1225,11,5,5,1,1
sub_1,1,2042775.51,0.86678,36.6122,7.09842,27.08536,27.32352,7.24292,6.40348,5.09522,6,5,4.854,1,1
sub_1,1,58175.51,0.86788,37.96898,10.53804,27.30764,29.2601,7.4877,5.71086,5.14624,10,6.84,4.922,2,1
sub_1,1,713675.51,0.73334,35.95766,5.11598,27.26108,29.08414,5.88944,5.86726,5.0467,11,5,5,1,1
sub_1,1,799925.51,0.95446,37.62648,4.95592,27.16582,28.96916,6.72724,5.98548,5.19068,5,7.241,5.646,2,2
sub_1,1,1192325.51,0.6957,35.90038,16.57252,30.58474,28.73522,6.64014,5.78582,5.51136,7,0.5,8.566,1,2
sub_1,1,522675.51,0.77644,35.50276,5.85092,27.25024,29.22298,8.40104,6.1331,5.07956,1,6.195,6.677,2,2
sub_1,1,2212975.51,0.66934,36.91948,5.92746,27.49534,27.12688,7.89596,7.7735,5.1479,8,3.543,6.194,1,2
sub_1,1,1593075.51,0.70106,35.86212,8.13252,27.2236,27.96654,6.04124,5.74052,5.26862,11,5,5,1,1
sub_1,1,1865475.51,0.94762,35.70682,10.925,27.15164,27.5592,5.41622,6.08798,5.20956,11,5,5,1,1
sub_1,1,2137725.51,0.83874,35.97598,6.2004,27.04444,27.20724,6.82562,6.0191,5.06062,11,5,5,1,1
sub_1,1,1897725.51,0.91912,36.19594,10.10416,28.20882,27.5153,6.36494,6.70482,5.06308,11,5,5,1,1
sub_1,1,1752275.51,0.43874,35.7961,7.29898,27.06168,27.71758,5.97558,8.27624,5.21598,2,9.453,7.328,2,2
sub_1,1,1443625.51,1.02728,35.44134,10.85568,27.72692,28.23818,6.7986,6.17418,5.22104,4,7.351,5.112,2,2
sub_1,1,240875.51,0.96962,35.25384,7.78578,27.21604,29.0955,7.45474,5.73476,5.04016,3,5.717,4.536,2,1
sub_1,1,2192025.51,0.84268,36.28012,5.87264,27.27116,27.14962,8.02076,6.20462,5.1314,8,4.789,5.336,1,2
sub_1,1,2436025.51,0.77236,35.92392,7.41908,27.01604,26.89494,6.26626,5.65008,5.05502,12,5,5,1,1
sub_1,1,989025.51,1.1019,35.55802,4.49646,27.16246,28.89558,7.1575,6.097,5.05408,11,5,5,1,1
sub_1,1,1009275.51,0.88872,35.56974,4.43782,27.01134,28.88316,8.35012,10.73284,5.23088,11,5,5,1,1
sub_1,1,1347475.51,0.83424,36.5324,13.48706,27.03206,28.4295,5.8155,6.3344,5.08792,11,5,5,1,1
sub_1,1,341975.51,0.7237,34.72672,6.92672,27.44718,29.19616,7.51806,6.06994,5.06142,11,5.034,3.394,2,1
sub_1,1,128725.51,0.82656,36.93066,8.99152,27.15336,29.14306,8.19654,6.28348,5.03514,11,5,5,1,1
sub_1,1,419275.51,0.78236,36.07812,6.43024,27.8791,29.27494,7.89506,6.93428,5.13556,11,5,5,1,1
sub_1,1,1579075.51,0.85554,37.41356,8.35598,27.0287,27.9906,6.70074,5.9953,5.03768,11,5,5,1,1
sub_1,1,2096275.51,0.7912,37.0332,6.53868,27.41392,27.2574,8.57434,8.35838,5.1224,11,5,5,1,1
sub_1,1,835075.51,0.75988,35.75634,4.85092,27.10924,28.93768,7.75464,5.81546,5.06148,5,4.288,5.554,1,2
sub_1,1,2298675.51,0.79432,35.8052,5.96516,27.16138,27.03772,9.17074,6.2366,5.12812,8,0.5,9.5,1,2
sub_1,1,1394425.51,0.83584,37.74592,12.56194,27.10558,28.33234,6.75582,6.12912,5.12396,4,7.572,4.583,2,1
sub_1,1,1324125.51,0.76248,36.55012,14.23894,27.20624,28.47516,5.88454,6.15362,5.11918,11,5,5,1,1
sub_1,1,1716125.51,0.89374,35.5156,7.58416,27.02644,27.77862,5.68718,6.01748,5.2087,2,8.747,6.385,2,2
sub_1,1,1193425.51,0.32938,34.67654,16.60452,29.45654,28.73244,6.60074,5.94854,5.36456,7,0.5,9.008,1,2
sub_1,1,70325.51,0.77014,37.25828,10.18464,28.18456,29.23642,7.0165,5.75042,5.20382,10,6.951,5.294,2,2
sub_1,1,1346475.51,0.96666,36.06698,13.46876,27.03728,28.43166,6.12578,6.1742,5.16526,11,5,5.004,1,2
sub_1,1,1058025.51,0.74408,36.01104,4.36974,27.1882,28.86346,7.74642,6.60064,5.10102,7,4.789,6.073,1,2
sub_1,1,1864425.51,0.69446,36.48084,10.93916,27.5844,27.55632,5.65174,6.01828,5.08042,11,5,5,1,1
sub_1,1,2007375.51,0.76632,36.94658,7.61634,27.50106,27.36916,7.63308,5.95514,5.14632,6,4.984,4.509,1,1
sub_1,1,1659775.51,0.76642,36.93378,8.08052,28.69892,27.86348,6.06666,8.14482,5.26206,2,9.141,5.953,2,2
sub_1,1,1844175.51,0.89602,35.75154,11.25392,27.34754,27.58296,5.81142,5.88452,5.15856,11,5,5,1,1
sub_1,1,1498275.51,0.90288,36.57816,9.3506,27.1339,28.1332,6.21362,6.03468,5.09446,4,5.876,3.943,2,1
sub_1,1,2396375.51,0.94718,37.33996,7.71962,27.02564,26.93996,8.0315,7.1091,5.30142,12,5,5,1,1
sub_1,1,629575.51,0.7241,35.25656,5.39696,27.18454,29.15654,5.87462,7.38318,5.05336,1,9.175,6.133,2,2
sub_1,1,1962075.51,0.95628,35.68376,8.507,27.05312,27.4262,6.67374,5.9346,5.20296,6,5.036,5,2,1
sub_1,1,95575.51,0.91922,34.99448,9.57736,27.44738,29.19416,6.64912,6.4003,5.16762,10,7.435,5.277,2,2
sub_1,1,1437625.51,0.84364,35.94888,11.05592,27.0859,28.24938,6.60556,6.75176,5.3252,4,7.351,5.093,2,2
sub_1,1,1292025.51,0.88106,36.16918,15.0798,27.05258,28.54286,5.5689,5.75708,5.05576,11,5,5,1,1
sub_1,1,399225.51,0.85222,38.48932,6.555,27.08962,29.26554,8.11022,5.8656,5.10844,11,5,5,1,1
sub_1,1,2283025.51,0.76396,36.7432,5.72284,27.386,27.05412,40.68048,9.73568,13.15188,8,1.53,7.625,1,2
sub_1,1,993025.51,0.8989,35.77066,4.48534,27.1077,28.89488,6.93992,5.89358,5.08206,11,5,5,1,1
sub_1,1,1235275.51,0.53782,35.61964,17.05118,27.14294,28.65954,6.12342,7.50976,5.21438,11,5,5,1,1
sub_1,1,1147875.51,1.1688,38.10888,13.44738,27.36502,28.7919,7.59524,13.53786,5.21694,7,0.5,9.5,1,2
sub_1,1,1514125.51,0.74476,36.52542,8.99016,30.13422,28.10514,7.37664,6.32548,5.42524,11,5,5,1,1
sub_1,1,159025.51,0.86282,37.77236,8.58588,27.20038,29.1055,6.48742,5.86064,5.03434,11,5,5,1,1
sub_1,1,1272275.51,0.92164,36.75636,15.72736,29.60534,28.5862,6.84718,6.90724,5.35472,11,5,5,1,1
sub_1,1,1797825.51,0.93042,36.31836,10.71116,27.07888,27.65154,7.84014,21.18136,5.08538,2,9.475,6.847,2,2
sub_1,1,2001775.51,0.75088,35.82992,7.70912,27.29302,27.37532,6.58996,5.93536,5.08778,6,5,5,1,1
sub_1,1,1274225.51,0.83864,36.6229,15.68376,27.3158,28.58216,5.69368,5.98874,5.14548,11,5,5,1,1
sub_1,1,1902875.51,0.73048,36.34026,9.95558,27.05274,27.5089,6.36648,10.86272,5.04998,11,5,5,1,1
sub_1,1,2393925.51,0.91174,35.33744,7.72052,27.73624,26.94048,6.71404,6.0191,5.33996,12,5,5,1,1
sub_1,1,673925.51,0.96276,35.2374,5.2408,27.03178,29.1165,5.7849,5.78824,5.15286,11,5,5,1,1
