Index,True_Valence,True_Arousal,Pred_Valence,Pred_Arousal
Index,True_Valence,True_Arousal,Pred_Valence,Pred_Arousal
0,1,2,0,1
1,2,2,0,1
2,1,1,0,1
3,2,2,0,1
4,2,2,0,1
5,1,1,0,1
6,1,2,0,1
7,2,2,0,1
8,2,2,0,1
9,1,1,0,1
10,1,2,0,1
11,1,1,0,1
12,1,1,0,1
13,1,1,0,1
14,2,2,0,1
15,1,1,0,1
16,1,1,0,1
17,1,1,0,1
18,1,1,0,1
19,1,1,0,1
20,1,1,0,1
21,2,1,0,1
22,1,2,0,1
23,1,2,0,1
24,1,2,0,1
25,1,1,0,1
26,2,2,0,1
27,1,1,0,1
28,1,1,0,1
29,2,1,0,1
30,1,1,0,1
31,2,2,0,1
32,1,2,0,1
33,2,2,0,1
34,1,2,0,1
35,1,1,0,1
36,1,1,0,1
37,1,1,0,1
38,1,1,0,1
39,2,2,0,1
40,2,2,0,1
41,2,1,0,1
42,1,2,0,1
43,1,1,0,1
44,1,1,0,1
45,1,1,0,1
46,1,1,0,1
47,2,1,0,1
48,1,1,0,1
49,1,1,0,1
50,1,1,0,1
51,1,1,0,1
52,1,2,0,1
53,1,2,0,1
54,2,1,0,1
55,1,1,0,1
56,2,2,0,1
57,1,2,0,1
58,2,2,0,1
59,1,2,0,1
60,1,2,0,1
61,1,1,0,1
62,1,1,0,1
63,2,2,0,1
64,1,1,0,1
65,2,1,0,1
66,1,1,0,1
67,2,2,0,1
68,2,1,0,1
69,2,2,0,1
70,2,2,0,1
71,1,1,0,1
72,1,1,0,1
73,1,2,0,1
74,1,1,0,1
75,1,1,0,1
76,1,2,0,1
77,1,1,0,1
78,1,1,0,1
79,1,1,0,1
80,2,2,0,1
81,1,1,0,1
82,1,1,0,1
83,1,1,0,1
84,1,1,0,1
85,1,1,0,1
86,1,1,0,1
87,1,1,0,1
88,1,1,0,1
89,1,1,0,1
90,1,1,0,1
91,1,1,0,1
92,2,1,0,1
93,1,2,0,1
94,2,2,0,1
95,1,1,0,1
96,1,2,0,1
97,1,2,0,1
98,2,2,0,1
99,2,1,0,1
100,1,1,0,1
101,2,2,0,1
102,1,2,0,1
103,1,1,0,1
104,2,2,0,1
105,2,2,0,1
106,1,1,0,1
107,2,2,0,1
108,1,2,0,1
109,1,1,0,1
110,1,1,0,1
111,1,2,0,1
112,1,1,0,1
113,2,1,0,1
114,1,1,0,1
115,1,2,0,1
116,1,2,0,1
117,2,2,0,1
118,1,1,0,1
119,1,2,0,1
120,2,2,0,1
121,1,1,0,1
122,1,1,0,1
123,2,2,0,1
124,1,1,0,1
125,2,2,0,1
126,1,1,0,1
127,1,1,0,1
128,1,1,0,1
129,2,1,0,1
130,1,1,0,1
131,1,1,0,1
132,2,2,0,1
133,1,1,0,1
134,1,1,0,1
135,1,1,0,1
136,2,2,0,1
137,1,1,0,1
138,2,2,0,1
139,1,1,0,1
140,1,2,0,1
141,1,1,0,1
142,1,2,0,1
143,2,2,0,1
144,2,2,0,1
145,2,2,0,1
146,1,1,0,1
147,1,1,0,1
148,1,1,0,1
149,1,2,0,1
150,1,2,0,1
151,2,2,0,1
152,1,1,0,1
153,2,2,0,1
154,2,2,0,1
155,1,1,0,1
156,1,2,0,1
157,2,2,0,1
158,1,2,0,1
159,2,1,0,1
160,2,1,0,1
161,2,2,0,1
162,2,2,0,1
163,1,2,0,1
164,1,1,0,1
165,2,2,0,1
166,2,2,0,1
167,1,1,0,1
168,2,2,0,1
169,1,1,0,1
170,1,1,0,1
171,2,1,0,1
172,1,1,0,1
173,2,2,0,1
174,1,2,0,1
175,1,1,0,1
176,2,1,0,1
177,2,1,0,1
178,1,2,0,1
179,1,2,0,1
180,1,2,0,1
181,1,1,0,1
182,2,1,0,1
183,1,1,0,1
184,2,2,0,1
185,2,2,0,1
186,1,1,0,1
187,2,2,0,1
188,1,1,0,1
189,2,2,0,1
190,1,1,0,1
191,1,1,0,1
192,1,1,0,1
193,1,2,0,1
194,1,1,0,1
195,1,1,0,1
196,2,2,0,1
197,1,2,0,1
198,2,2,0,1
199,1,1,0,1
200,1,2,0,1
201,2,2,0,1
202,1,1,0,1
203,1,1,0,1
204,1,1,0,1
205,1,1,0,1
206,1,1,0,1
207,1,2,0,1
208,2,1,0,1
209,2,2,0,1
210,1,1,0,1
211,1,1,0,1
212,1,2,0,1
213,2,2,0,1
214,1,1,0,1
215,1,2,0,1
216,2,1,0,1
217,2,2,0,1
218,1,1,0,1
219,1,1,0,1
220,1,1,0,1
221,1,1,0,1
222,1,1,0,1
223,2,2,0,1
224,2,2,0,1
225,1,2,0,1
226,1,2,0,1
227,1,2,0,1
228,1,1,0,1
229,1,1,0,1
230,2,2,0,1
231,1,1,0,1
232,1,1,0,1
233,2,2,0,1
234,1,1,0,1
235,1,1,0,1
236,2,1,0,1
237,1,1,0,1
238,2,1,0,1
239,1,1,0,1
240,1,2,0,1
241,2,2,0,1
242,1,2,0,1
243,2,2,0,1
244,2,2,0,1
245,1,1,0,1
246,1,1,0,1
247,1,1,0,1
248,2,2,0,1
249,1,2,0,1
250,2,2,0,1
251,1,1,0,1
252,2,2,0,1
253,1,2,0,1
254,2,2,0,1
255,1,1,0,1
256,2,2,0,1
257,1,2,0,1
258,1,2,0,1
259,2,1,0,1
260,1,1,0,1
261,1,1,0,1
262,1,1,0,1
263,1,1,0,1
264,1,1,0,1
265,1,1,0,1
266,1,1,0,1
267,1,1,0,1
268,1,1,0,1
269,1,1,0,1
270,1,1,0,1
271,2,2,0,1
272,1,1,0,1
273,2,2,0,1
274,2,2,0,1
275,2,2,0,1
276,1,1,0,1
277,1,2,0,1
278,1,2,0,1
279,1,1,0,1
280,1,1,0,1
281,1,1,0,1
282,2,2,0,1
283,1,2,0,1
284,1,1,0,1
285,1,1,0,1
286,1,1,0,1
287,1,1,0,1
288,1,1,0,1
289,1,2,0,1
290,1,2,0,1
291,1,1,0,1
292,1,2,0,1
293,2,1,0,1
294,1,1,0,1
295,1,1,0,1
296,2,1,0,1
297,2,2,0,1
298,1,1,0,1
299,1,1,0,1
300,1,1,0,1
301,2,1,0,1
302,1,2,0,1
303,2,2,0,1
304,1,1,0,1
305,2,2,0,1
306,2,2,0,1
307,1,1,0,1
308,1,2,0,1
309,1,1,0,1
310,1,1,0,1
311,1,1,0,1
312,1,1,0,1
313,1,1,0,1
314,2,1,0,1
315,1,1,0,1
316,1,2,0,1
317,2,2,0,1
318,1,1,0,1
319,1,1,0,1
320,2,2,0,1
321,1,2,0,1
322,2,1,0,1
323,2,2,0,1
324,1,1,0,1
325,1,2,0,1
326,2,1,0,1
327,1,2,0,1
328,2,1,0,1
329,1,1,0,1
330,1,2,0,1
331,1,1,0,1
332,1,1,0,1
333,2,2,0,1
334,1,2,0,1
335,2,1,0,1
336,2,2,0,1
337,2,2,0,1
338,1,2,0,1
339,2,1,0,1
340,2,1,0,1
341,2,2,0,1
342,1,2,0,1
343,1,1,0,1
344,2,2,0,1
345,2,1,0,1
346,1,1,0,1
347,1,1,0,1
348,1,2,0,1
349,1,1,0,1
350,1,1,0,1
351,2,2,0,1
352,1,1,0,1
353,2,2,0,1
354,2,2,0,1
355,1,1,0,1
356,1,1,0,1
357,1,2,0,1
358,2,2,0,1
359,1,1,0,1
360,1,1,0,1
361,2,1,0,1
362,1,1,0,1
363,1,1,0,1
364,1,2,0,1
365,1,1,0,1
366,2,2,0,1
367,1,2,0,1
368,2,2,0,1
369,2,1,0,1
370,1,1,0,1
371,1,2,0,1
372,2,1,0,1
373,2,1,0,1
374,2,2,0,1
375,1,2,0,1
376,1,1,0,1
377,1,2,0,1
378,1,1,0,1
379,1,2,0,1
380,2,1,0,1
381,2,1,0,1
382,2,2,0,1
383,1,1,0,1
384,2,2,0,1
385,1,1,0,1
386,2,1,0,1
387,1,1,0,1
388,2,2,0,1
389,2,2,0,1
390,2,2,0,1
391,2,1,0,1
392,1,2,0,1
393,1,1,0,1
394,1,1,0,1
395,2,2,0,1
396,2,2,0,1
397,1,1,0,1
398,2,2,0,1
399,2,2,0,1
400,1,2,1,1
401,2,1,0,1
402,2,2,1,1
403,2,1,0,1
404,2,1,0,1
405,2,1,0,1
406,2,1,0,1
407,1,1,0,1
408,2,1,0,1
