Index,True_Valence,True_Arousal,Pred_Valence,Pred_Arousal
Index,True_Valence,True_Arousal,Pred_Valence,Pred_Arousal
0,0,0,1,1
1,1,1,1,1
2,1,1,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,0,1,1
11,1,0,1,1
12,1,0,1,1
13,1,0,1,1
14,1,0,1,0
15,1,0,1,1
16,1,0,1,0
17,1,0,0,0
18,1,0,1,1
19,1,0,1,1
20,1,0,0,0
21,1,1,1,1
22,1,1,1,1
23,1,1,0,0
24,1,1,1,1
25,1,1,0,0
26,1,1,0,0
27,1,1,1,1
28,1,1,1,1
29,1,1,1,1
30,0,1,0,0
31,0,1,0,0
32,0,1,1,1
33,1,1,1,1
34,1,1,1,1
35,0,0,0,0
36,1,1,0,0
37,1,1,0,0
38,1,1,0,0
39,1,1,1,1
40,1,1,1,1
41,1,1,0,0
42,1,1,0,0
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,1,1,1,1
50,1,1,1,1
51,1,1,0,0
52,1,1,1,1
53,1,1,0,0
54,1,1,0,0
55,1,1,0,0
56,1,1,0,0
57,1,1,0,0
58,1,1,0,0
59,1,1,0,0
60,1,1,0,0
61,1,1,0,0
62,1,1,0,0
63,1,1,0,0
64,1,1,0,0
65,1,1,0,0
66,1,1,0,0
67,1,1,0,0
68,1,1,0,0
69,0,0,0,0
70,1,1,0,0
71,1,1,1,1
72,1,1,0,0
73,1,1,0,0
74,1,1,0,0
75,1,1,0,0
76,1,1,0,0
77,1,1,1,1
78,1,1,1,1
79,1,1,0,0
80,1,1,0,0
81,1,1,0,0
82,1,1,0,0
83,1,1,0,0
84,1,1,0,0
85,0,1,0,0
86,0,1,0,0
87,0,1,0,0
88,0,1,1,1
89,1,1,0,0
90,1,1,0,0
91,1,1,0,0
92,0,0,0,0
93,1,1,0,0
94,1,1,0,0
95,1,1,0,0
96,1,1,0,0
97,1,1,0,0
98,1,1,0,0
99,1,1,0,0
100,1,1,1,1
101,1,1,1,1
102,1,1,0,0
103,1,1,0,0
104,1,1,1,1
105,1,1,1,1
106,1,1,0,0
107,1,1,0,0
108,1,1,0,0
109,1,1,0,0
110,1,1,0,0
111,1,1,0,0
112,1,1,0,0
113,1,1,0,0
114,1,1,0,0
115,1,1,0,0
116,1,1,1,1
117,1,1,0,0
118,1,1,0,0
119,1,1,0,0
120,1,1,0,0
121,1,1,0,0
122,1,1,0,0
123,1,1,0,0
124,0,0,1,1
125,1,1,1,1
126,1,1,1,1
127,1,1,0,0
128,1,1,1,1
129,1,1,0,0
130,1,1,1,1
131,1,1,1,1
132,1,1,1,1
133,1,1,0,0
134,1,1,0,0
135,1,1,1,1
136,1,1,0,0
137,1,1,0,0
138,1,1,1,1
139,1,1,0,0
140,1,1,1,1
141,1,1,1,1
142,1,1,0,0
143,1,1,0,0
144,1,1,1,1
145,1,1,1,1
146,1,1,1,1
147,1,1,1,1
148,1,1,1,1
149,1,1,1,1
150,1,1,1,1
151,1,1,0,0
152,1,1,0,0
153,1,1,0,0
154,1,1,0,0
155,1,1,0,0
156,1,1,1,1
157,1,1,0,0
158,1,1,1,1
159,1,1,1,1
160,1,1,1,1
161,1,1,1,1
162,1,1,1,1
163,1,1,1,1
164,1,1,1,1
165,1,1,1,1
166,1,1,1,1
167,1,1,1,1
168,1,1,1,1
169,1,1,1,1
170,1,1,1,1
171,1,1,1,1
172,1,1,0,0
173,1,1,1,1
174,1,1,1,1
175,1,1,1,1
176,1,1,0,0
177,1,1,1,1
178,1,1,1,1
179,1,1,0,0
180,1,1,1,1
181,0,0,1,1
182,0,1,1,1
183,0,1,0,0
184,0,1,1,1
185,0,1,1,1
186,0,1,0,0
187,0,0,1,1
188,0,0,1,1
189,0,1,1,1
190,0,1,1,1
191,0,1,1,1
192,0,1,1,1
193,0,1,1,1
194,0,1,1,1
195,0,1,1,1
196,0,1,0,0
197,0,1,0,0
198,0,1,0,0
199,0,1,0,0
200,0,1,0,0
201,0,1,0,0
202,0,1,0,0
203,0,1,0,0
204,0,1,0,0
205,0,1,0,0
206,0,1,0,0
207,0,1,0,0
208,0,1,1,1
209,0,1,0,0
210,0,1,1,1
211,0,1,0,0
212,0,1,0,0
213,0,1,1,1
214,0,1,1,1
215,0,1,1,1
216,0,1,0,0
217,0,1,0,0
218,0,1,0,0
219,0,1,0,0
220,0,0,1,1
221,1,1,1,1
222,1,0,0,0
223,1,0,1,1
224,1,0,1,1
225,1,0,1,1
226,1,0,1,1
227,1,0,1,1
228,1,0,1,1
229,1,0,1,1
230,1,0,0,0
231,1,0,1,1
232,1,0,0,0
233,1,0,1,1
234,0,1,1,1
235,0,1,1,1
236,0,1,0,0
237,0,1,0,0
238,0,1,1,1
239,1,0,1,1
240,1,0,1,1
241,1,0,0,0
242,0,1,1,1
243,0,1,0,0
244,0,1,1,1
245,0,1,0,0
246,0,1,0,0
247,0,1,1,1
248,0,1,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,1,0,0,0
254,1,0,0,0
255,1,0,0,0
256,1,0,0,0
257,1,0,0,0
258,1,0,0,0
259,1,0,0,0
260,1,0,0,0
261,1,0,0,0
262,1,1,0,0
263,1,1,0,0
264,1,1,0,0
265,1,1,0,0
266,1,1,0,0
267,1,0,0,0
268,1,0,0,0
269,1,0,0,0
270,1,0,0,0
271,1,0,0,0
272,1,0,0,0
273,1,0,0,0
274,1,0,0,0
275,1,0,0,0
276,1,0,0,0
277,1,0,0,0
278,1,1,0,0
279,1,1,0,0
280,1,1,0,0
281,1,1,0,0
282,1,1,0,0
283,0,0,0,0
284,1,0,0,0
285,1,0,0,0
286,1,0,0,0
287,1,0,0,0
288,1,0,0,0
289,1,0,0,0
290,1,0,0,0
291,1,0,0,0
292,1,0,0,0
293,1,0,0,0
294,1,0,0,0
295,1,0,0,0
296,1,0,0,0
297,1,0,0,0
298,1,0,0,0
299,1,0,0,0
300,1,0,0,0
301,1,0,0,0
302,1,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,1,0,0,0
310,1,0,0,0
311,1,0,0,0
312,1,1,0,0
313,1,1,0,0
314,1,1,0,0
315,1,1,0,0
316,0,0,0,0
317,0,0,0,0
318,0,1,0,0
319,1,1,1,1
320,1,1,1,1
321,1,1,1,1
322,1,1,1,1
323,1,1,1,1
324,1,1,1,1
325,1,1,1,1
326,1,1,1,1
327,1,1,1,1
328,1,1,1,1
329,1,1,1,1
330,1,1,1,1
331,1,1,1,1
332,1,1,1,1
333,1,1,1,1
334,1,1,1,1
335,1,1,1,1
336,1,1,1,1
337,1,0,1,1
338,1,0,1,1
339,0,0,1,1
340,1,1,1,1
341,1,1,1,1
342,1,1,1,1
343,1,1,1,1
344,1,1,1,1
345,1,1,1,1
346,1,1,1,1
347,1,1,1,1
348,0,1,1,1
349,0,1,1,1
350,0,1,1,1
351,0,1,1,1
352,1,1,1,1
353,1,1,1,1
354,1,1,1,1
355,1,1,1,1
356,1,1,1,1
357,1,1,1,1
358,1,1,1,1
359,1,1,1,1
360,1,1,1,1
361,1,1,1,1
362,1,1,1,1
363,1,1,1,1
364,1,1,1,1
365,1,1,1,1
366,1,1,1,1
367,1,1,1,1
368,1,1,1,1
369,1,1,1,1
370,1,1,1,1
371,0,0,0,0
372,0,0,0,0
373,1,0,0,0
374,1,0,0,0
375,1,0,0,0
376,1,0,0,0
377,1,0,0,0
378,1,0,0,0
379,1,0,0,0
380,1,0,0,0
381,1,0,0,0
382,1,0,0,0
383,1,0,0,0
384,1,0,0,0
385,1,0,0,0
386,1,0,0,0
387,1,0,0,0
388,1,0,0,0
389,1,0,0,0
390,1,0,0,0
391,1,0,0,0
392,1,0,0,0
393,1,0,0,0
394,1,0,0,0
395,1,0,0,0
396,1,0,0,0
397,1,0,0,0
398,1,0,0,0
399,1,0,1,1
400,1,0,1,1
401,1,0,0,0
402,1,1,1,1
403,1,1,1,1
404,1,1,1,1
405,1,1,0,0
406,1,1,1,1
407,1,1,1,1
408,1,1,1,1
409,1,1,0,0
410,1,1,1,1
411,1,1,0,0
412,1,1,0,0
413,1,1,1,1
414,1,1,1,1
415,0,1,0,0
416,0,0,0,0
417,0,0,0,0
418,0,0,1,1
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,1,1
423,0,0,1,1
424,0,0,1,1
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,1,0,0,0
429,1,0,0,0
