Index,Valence,Arousal,True_Valence,True_Arousal,User,Split
21,0,0,1,0,1,10
22,1,1,1,1,1,10
23,1,1,1,1,1,10
24,0,0,1,1,1,10
25,1,1,1,1,1,10
26,0,0,1,1,1,10
27,0,0,1,1,1,10
28,1,1,1,1,1,10
29,0,1,1,1,1,10
30,0,1,1,1,1,10
31,0,0,0,1,1,10
32,0,1,0,1,1,10
33,0,1,0,1,1,10
34,0,1,1,1,1,10
35,0,1,1,1,1,10
36,0,0,0,0,1,10
37,1,1,1,1,1,10
38,1,1,1,1,1,10
39,0,0,1,1,1,10
40,0,1,1,1,1,10
41,0,1,1,1,1,10
42,0,0,1,1,1,10
43,0,0,1,1,1,10
44,1,1,1,1,1,10
45,1,1,1,1,1,10
46,1,1,1,1,1,10
47,1,1,1,1,1,10
48,0,0,1,1,1,10
49,0,0,1,1,1,10
50,0,0,1,1,1,10
51,0,1,1,1,1,10
52,0,0,1,1,1,10
53,0,0,1,1,1,10
54,0,0,1,1,1,10
55,0,0,1,1,1,10
56,0,0,1,1,1,10
57,0,0,1,1,1,10
58,0,0,1,1,1,10
59,0,0,1,1,1,10
60,0,0,1,1,1,10
61,1,1,1,1,1,10
62,0,0,1,1,1,10
63,0,0,1,1,1,10
64,0,0,1,1,1,10
65,0,0,1,1,1,10
66,0,0,1,1,1,10
67,0,0,1,1,1,10
68,0,0,1,1,1,10
69,0,0,1,1,1,10
70,0,0,0,0,1,10
71,1,1,1,1,1,10
72,1,1,1,1,1,10
73,0,0,1,1,1,10
74,0,0,1,1,1,10
75,0,0,1,1,1,10
76,0,0,1,1,1,10
77,0,0,1,1,1,10
78,0,0,1,1,1,10
79,0,0,1,1,1,10
80,0,0,1,1,1,10
81,0,0,1,1,1,10
82,0,0,1,1,1,10
83,0,0,1,1,1,10
84,0,0,1,1,1,10
85,0,0,1,1,1,10
86,0,0,0,1,1,10
87,0,0,0,1,1,10
88,0,0,0,1,1,10
89,0,1,0,1,1,10
90,0,0,1,1,1,10
91,0,0,1,1,1,10
92,0,0,1,1,1,10
93,0,0,0,0,1,10
94,1,1,1,1,1,10
95,1,1,1,1,1,10
96,0,0,1,1,1,10
97,0,0,1,1,1,10
98,0,0,1,1,1,10
99,0,0,1,1,1,10
100,0,0,1,1,1,10
101,1,1,1,1,1,10
102,0,0,1,1,1,10
103,0,0,1,1,1,10
104,0,0,1,1,1,10
105,0,1,1,1,1,10
106,1,1,1,1,1,10
107,0,0,1,1,1,10
108,0,0,1,1,1,10
109,0,0,1,1,1,10
110,0,0,1,1,1,10
111,0,0,1,1,1,10
112,0,0,1,1,1,10
113,0,0,1,1,1,10
114,0,0,1,1,1,10
